provinceName,confirmedCount,curedCount,deadCount,updateTime
四川省,520,217,3,2020-02-20
四川省,525,231,3,2020-02-21
四川省,526,250,3,2020-02-22
四川省,526,261,3,2020-02-23
四川省,527,276,3,2020-02-24
四川省,529,289,3,2020-02-25
四川省,531,307,3,2020-02-26
四川省,534,313,3,2020-02-27
天津市,14,0,0,2020-01-26
天津市,22,0,0,2020-01-27
天津市,24,0,0,2020-01-28
天津市,27,0,0,2020-01-29
天津市,31,0,0,2020-01-30
天津市,32,0,0,2020-01-31
天津市,41,0,0,2020-02-01
天津市,48,1,0,2020-02-02
天津市,60,1,0,2020-02-03
天津市,67,2,0,2020-02-04
天津市,69,2,1,2020-02-05
天津市,78,2,1,2020-02-06
天津市,81,2,1,2020-02-07
天津市,88,4,1,2020-02-08
天津市,90,4,1,2020-02-09
天津市,95,8,1,2020-02-10
天津市,105,9,2,2020-02-11
天津市,112,11,2,2020-02-12
天津市,117,21,3,2020-02-13
天津市,120,31,3,2020-02-14
天津市,122,37,3,2020-02-15
天津市,124,45,3,2020-02-16
天津市,125,46,3,2020-02-17
天津市,128,48,3,2020-02-18
天津市,130,54,3,2020-02-19
天津市,131,59,3,2020-02-20
天津市,132,62,3,2020-02-21
天津市,135,65,3,2020-02-22
天津市,135,81,3,2020-02-23
天津市,135,87,3,2020-02-24
天津市,135,91,3,2020-02-25
天津市,135,96,3,2020-02-26
宁夏回族自治区,2,0,0,2020-01-24
宁夏回族自治区,3,0,0,2020-01-25
宁夏回族自治区,4,0,0,2020-01-26
宁夏回族自治区,7,0,0,2020-01-27
宁夏回族自治区,11,0,0,2020-01-28
宁夏回族自治区,12,0,0,2020-01-29
宁夏回族自治区,17,0,0,2020-01-30
宁夏回族自治区,21,0,0,2020-01-31
宁夏回族自治区,26,0,0,2020-02-01
宁夏回族自治区,28,0,0,2020-02-02
宁夏回族自治区,31,1,0,2020-02-03
宁夏回族自治区,34,1,0,2020-02-04
宁夏回族自治区,40,1,0,2020-02-06
宁夏回族自治区,43,5,0,2020-02-07
宁夏回族自治区,45,5,0,2020-02-08
宁夏回族自治区,45,13,0,2020-02-09
宁夏回族自治区,49,13,0,2020-02-10
宁夏回族自治区,53,22,0,2020-02-11
宁夏回族自治区,58,24,0,2020-02-12
宁夏回族自治区,64,24,0,2020-02-13
宁夏回族自治区,67,24,0,2020-02-14
宁夏回族自治区,70,33,0,2020-02-15
宁夏回族自治区,70,35,0,2020-02-17
宁夏回族自治区,70,42,0,2020-02-18
宁夏回族自治区,71,42,0,2020-02-19
宁夏回族自治区,71,44,0,2020-02-20
宁夏回族自治区,71,48,0,2020-02-21
宁夏回族自治区,71,56,0,2020-02-23
宁夏回族自治区,71,58,0,2020-02-24
宁夏回族自治区,71,61,0,2020-02-25
宁夏回族自治区,71,65,0,2020-02-26
宁夏回族自治区,72,65,0,2020-02-27
安徽省,9,0,0,2020-01-24
安徽省,39,0,0,2020-01-25
安徽省,60,0,0,2020-01-26
安徽省,70,0,0,2020-01-27
安徽省,106,0,0,2020-01-28
安徽省,155,2,0,2020-01-29
安徽省,200,2,0,2020-01-30
安徽省,237,3,0,2020-01-31
安徽省,297,5,0,2020-02-01
安徽省,340,7,0,2020-02-02
安徽省,408,8,0,2020-02-03
安徽省,480,20,0,2020-02-04
安徽省,530,23,0,2020-02-05
安徽省,591,34,0,2020-02-06
安徽省,665,47,0,2020-02-07
安徽省,733,59,0,2020-02-08
安徽省,779,72,1,2020-02-09
安徽省,830,88,3,2020-02-10
安徽省,860,88,4,2020-02-11
安徽省,889,127,4,2020-02-12
安徽省,910,162,5,2020-02-13
安徽省,934,193,6,2020-02-14
安徽省,950,221,6,2020-02-15
安徽省,962,255,6,2020-02-16
安徽省,973,280,6,2020-02-17
安徽省,982,361,6,2020-02-18
安徽省,986,413,6,2020-02-19
安徽省,987,474,6,2020-02-20
安徽省,988,539,6,2020-02-21
安徽省,989,597,6,2020-02-22
安徽省,989,637,6,2020-02-23
安徽省,989,663,6,2020-02-24
安徽省,989,712,6,2020-02-25
安徽省,989,744,6,2020-02-26
安徽省,989,768,6,2020-02-27
山东省,9,0,0,2020-01-24
山东省,27,1,0,2020-01-25
山东省,46,0,0,2020-01-26
山东省,75,1,0,2020-01-27
山东省,95,0,1,2020-01-28
山东省,130,1,0,2020-01-29
山东省,158,1,0,2020-01-30
山东省,184,2,0,2020-01-31
山东省,206,3,0,2020-02-01
山东省,230,6,0,2020-02-02
山东省,259,7,0,2020-02-03
山东省,275,9,0,2020-02-04
山东省,307,15,0,2020-02-05
山东省,347,27,0,2020-02-06
山东省,386,37,0,2020-02-07
山东省,416,44,0,2020-02-08
山东省,444,63,1,2020-02-09
山东省,466,66,1,2020-02-10
山东省,487,80,1,2020-02-11
山东省,498,92,2,2020-02-12
山东省,509,98,2,2020-02-13
山东省,523,136,2,2020-02-14
山东省,532,156,2,2020-02-15
山东省,537,173,2,2020-02-16
山东省,541,191,2,2020-02-17
山东省,543,213,3,2020-02-18
山东省,544,231,3,2020-02-19
山东省,546,254,4,2020-02-20
山东省,749,281,4,2020-02-21
山东省,750,302,4,2020-02-22
山东省,754,321,4,2020-02-23
山东省,755,343,5,2020-02-24
山东省,756,355,6,2020-02-25
山东省,756,377,6,2020-02-26
山东省,756,381,6,2020-02-27
山西省,1,0,0,2020-01-24
山西省,6,0,0,2020-01-25
山西省,9,0,0,2020-01-26
山西省,13,0,0,2020-01-27
山西省,20,0,0,2020-01-28
山西省,27,1,0,2020-01-29
山西省,35,1,0,2020-01-30
山西省,39,1,0,2020-01-31
山西省,47,1,0,2020-02-01
山西省,56,2,0,2020-02-02
山西省,66,3,0,2020-02-03
山西省,74,4,0,2020-02-04
山西省,81,5,0,2020-02-05
山西省,90,8,0,2020-02-06
山西省,96,15,0,2020-02-07
山西省,104,20,0,2020-02-08
山西省,115,22,0,2020-02-09
山西省,119,25,0,2020-02-10
山西省,122,30,0,2020-02-11
山西省,124,33,0,2020-02-12
山西省,126,33,0,2020-02-13
山西省,126,38,0,2020-02-14
山西省,127,42,0,2020-02-15
山西省,128,49,0,2020-02-16
山西省,129,51,0,2020-02-17
山西省,130,60,0,2020-02-18
山西省,131,63,0,2020-02-19
山西省,131,73,0,2020-02-20
山西省,132,76,0,2020-02-21
山西省,132,79,0,2020-02-22
山西省,132,89,0,2020-02-23
山西省,132,91,0,2020-02-24
山西省,133,96,0,2020-02-25
山西省,133,98,0,2020-02-26
广东省,53,2,0,2020-01-24
广东省,78,2,0,2020-01-25
广东省,98,2,0,2020-01-26
广东省,151,3,0,2020-01-27
广东省,207,4,0,2020-01-28
广东省,277,5,0,2020-01-29
广东省,354,8,0,2020-01-30
广东省,436,9,0,2020-01-31
广东省,535,14,0,2020-02-01
广东省,632,15,0,2020-02-02
广东省,725,21,0,2020-02-03
广东省,813,30,0,2020-02-04
广东省,895,49,0,2020-02-05
广东省,970,69,0,2020-02-06
广东省,1034,88,1,2020-02-07
广东省,1095,98,1,2020-02-08
广东省,1131,141,1,2020-02-09
广东省,1159,167,1,2020-02-10
广东省,1177,212,1,2020-02-11
广东省,1219,275,1,2020-02-12
广东省,1241,314,2,2020-02-13
广东省,1261,362,2,2020-02-14
广东省,1294,410,2,2020-02-15
广东省,1316,465,2,2020-02-16
广东省,1322,524,4,2020-02-17
广东省,1328,565,4,2020-02-18
广东省,1331,606,5,2020-02-19
广东省,1332,642,5,2020-02-20
广东省,1333,690,5,2020-02-21
广东省,1339,728,5,2020-02-22
广东省,1342,755,6,2020-02-23
广东省,1345,786,6,2020-02-24
广东省,1347,822,7,2020-02-25
广东省,1347,851,7,2020-02-26
广东省,1347,873,7,2020-02-27
广西壮族自治区,5,0,0,2020-01-24
广西壮族自治区,23,0,0,2020-01-25
广西壮族自治区,36,0,0,2020-01-26
广西壮族自治区,46,0,0,2020-01-27
广西壮族自治区,51,2,0,2020-01-28
广西壮族自治区,58,2,0,2020-01-29
广西壮族自治区,78,2,0,2020-01-30
广西壮族自治区,87,2,0,2020-01-31
广西壮族自治区,100,2,0,2020-02-01
广西壮族自治区,111,2,0,2020-02-02
广西壮族自治区,127,7,0,2020-02-03
广西壮族自治区,139,7,0,2020-02-04
广西壮族自治区,150,13,0,2020-02-05
广西壮族自治区,168,14,0,2020-02-06
广西壮族自治区,172,17,0,2020-02-07
广西壮族自治区,183,17,1,2020-02-08
广西壮族自治区,195,18,1,2020-02-09
广西壮族自治区,210,24,1,2020-02-10
广西壮族自治区,215,33,1,2020-02-11
广西壮族自治区,222,32,1,2020-02-12
广西壮族自治区,222,33,2,2020-02-13
广西壮族自治区,226,36,2,2020-02-14
广西壮族自治区,235,44,2,2020-02-15
广西壮族自治区,237,49,2,2020-02-16
广西壮族自治区,238,53,2,2020-02-17
广西壮族自治区,242,69,2,2020-02-18
广西壮族自治区,244,86,2,2020-02-19
广西壮族自治区,245,90,2,2020-02-20
广西壮族自治区,246,97,2,2020-02-21
广西壮族自治区,249,99,2,2020-02-22
广西壮族自治区,249,106,2,2020-02-23
广西壮族自治区,251,112,2,2020-02-24
广西壮族自治区,252,142,2,2020-02-25
广西壮族自治区,252,147,2,2020-02-26
广西壮族自治区,252,159,2,2020-02-27
新疆维吾尔自治区,3,0,0,2020-01-25
新疆维吾尔自治区,4,0,0,2020-01-26
新疆维吾尔自治区,5,0,0,2020-01-27
新疆维吾尔自治区,10,0,0,2020-01-28
新疆维吾尔自治区,13,0,0,2020-01-29
新疆维吾尔自治区,14,0,0,2020-01-30
新疆维吾尔自治区,17,0,0,2020-01-31
新疆维吾尔自治区,18,0,0,2020-02-01
新疆维吾尔自治区,21,0,0,2020-02-02
新疆维吾尔自治区,24,0,0,2020-02-03
新疆维吾尔自治区,29,0,0,2020-02-04
新疆维吾尔自治区,32,0,0,2020-02-05
新疆维吾尔自治区,36,0,0,2020-02-06
新疆维吾尔自治区,39,0,0,2020-02-07
新疆维吾尔自治区,42,0,0,2020-02-08
新疆维吾尔自治区,45,0,0,2020-02-09
新疆维吾尔自治区,49,0,0,2020-02-10
新疆维吾尔自治区,55,3,0,2020-02-11
新疆维吾尔自治区,59,3,0,2020-02-12
新疆维吾尔自治区,63,6,1,2020-02-13
新疆维吾尔自治区,65,6,1,2020-02-14
新疆维吾尔自治区,70,6,1,2020-02-15
新疆维吾尔自治区,71,12,1,2020-02-16
新疆维吾尔自治区,75,12,1,2020-02-17
新疆维吾尔自治区,76,12,1,2020-02-18
新疆维吾尔自治区,76,20,1,2020-02-19
新疆维吾尔自治区,76,22,1,2020-02-20
新疆维吾尔自治区,76,24,1,2020-02-21
新疆维吾尔自治区,76,25,2,2020-02-22
新疆维吾尔自治区,76,28,2,2020-02-23
新疆维吾尔自治区,76,30,2,2020-02-24
新疆维吾尔自治区,76,34,2,2020-02-26
江苏省,9,0,0,2020-01-24
江苏省,18,1,0,2020-01-25
江苏省,33,1,0,2020-01-26
江苏省,47,1,0,2020-01-27
江苏省,70,1,0,2020-01-28
江苏省,99,1,0,2020-01-29
江苏省,129,1,0,2020-01-30
江苏省,168,5,0,2020-01-31
江苏省,202,8,0,2020-02-01
江苏省,236,7,0,2020-02-02
江苏省,271,8,0,2020-02-03
江苏省,308,8,0,2020-02-04
江苏省,341,23,0,2020-02-05
江苏省,373,34,0,2020-02-06
江苏省,408,43,0,2020-02-07
江苏省,439,51,0,2020-02-08
江苏省,468,71,0,2020-02-09
江苏省,492,81,0,2020-02-10
江苏省,515,93,0,2020-02-11
江苏省,543,94,0,2020-02-12
江苏省,570,139,0,2020-02-13
江苏省,593,157,0,2020-02-14
江苏省,604,186,0,2020-02-15
江苏省,617,218,0,2020-02-16
江苏省,626,258,0,2020-02-17
江苏省,629,280,0,2020-02-18
江苏省,631,318,0,2020-02-19
江苏省,631,356,0,2020-02-20
江苏省,631,373,0,2020-02-21
江苏省,631,401,0,2020-02-22
江苏省,631,418,0,2020-02-23
江苏省,631,453,0,2020-02-24
江苏省,631,458,0,2020-02-25
江苏省,631,478,0,2020-02-26
江苏省,631,494,0,2020-02-27
江西省,7,0,0,2020-01-24
江西省,18,0,0,2020-01-25
江西省,36,0,0,2020-01-26
江西省,48,1,0,2020-01-27
江西省,72,3,0,2020-01-28
江西省,109,3,0,2020-01-29
江西省,162,5,0,2020-01-30
江西省,240,7,0,2020-01-31
江西省,286,9,0,2020-02-01
江西省,333,12,0,2020-02-02
江西省,391,18,0,2020-02-03
江西省,476,20,0,2020-02-04
江西省,548,27,0,2020-02-05
江西省,600,37,0,2020-02-06
江西省,661,45,0,2020-02-07
江西省,698,55,0,2020-02-08
江西省,740,74,0,2020-02-09
江西省,771,105,1,2020-02-10
江西省,804,128,1,2020-02-11
江西省,844,152,1,2020-02-12
江西省,872,170,1,2020-02-13
江西省,900,187,1,2020-02-14
江西省,913,210,1,2020-02-15
江西省,925,240,1,2020-02-16
江西省,930,275,1,2020-02-17
江西省,933,310,1,2020-02-18
江西省,934,362,1,2020-02-19
江西省,934,433,1,2020-02-20
江西省,934,489,1,2020-02-21
江西省,934,555,1,2020-02-22
江西省,934,613,1,2020-02-23
江西省,934,645,1,2020-02-24
江西省,934,683,1,2020-02-25
江西省,934,719,1,2020-02-26
江西省,934,754,1,2020-02-27
河北省,2,0,1,2020-01-24
河北省,8,0,1,2020-01-25
河北省,13,0,1,2020-01-26
河北省,18,0,1,2020-01-27
河北省,33,0,1,2020-01-28
河北省,48,0,1,2020-01-29
河北省,65,0,1,2020-01-30
河北省,82,0,1,2020-01-31
河北省,96,0,1,2020-02-01
河北省,104,3,1,2020-02-02
河北省,113,3,1,2020-02-03
河北省,126,4,1,2020-02-04
河北省,136,6,1,2020-02-05
河北省,157,9,1,2020-02-06
河北省,172,22,1,2020-02-07
河北省,195,30,1,2020-02-08
河北省,206,34,2,2020-02-09
河北省,218,41,2,2020-02-10
河北省,239,48,2,2020-02-11
河北省,251,54,2,2020-02-12
河北省,265,68,3,2020-02-13
河北省,283,87,3,2020-02-14
河北省,291,97,3,2020-02-15
河北省,300,105,3,2020-02-16
河北省,301,122,3,2020-02-17
河北省,302,136,4,2020-02-18
河北省,306,152,4,2020-02-19
河北省,307,169,5,2020-02-20
河北省,308,184,5,2020-02-21
河北省,309,203,6,2020-02-22
河北省,311,219,6,2020-02-23
河北省,311,234,6,2020-02-24
河北省,311,248,6,2020-02-25
河北省,312,261,6,2020-02-26
河北省,317,264,6,2020-02-27
河南省,9,0,0,2020-01-24
河南省,32,0,0,2020-01-25
河南省,83,0,1,2020-01-26
河南省,128,0,1,2020-01-27
河南省,168,0,1,2020-01-28
河南省,206,1,2,2020-01-29
河南省,278,2,2,2020-01-30
河南省,352,3,2,2020-01-31
河南省,422,3,2,2020-02-01
河南省,493,9,2,2020-02-02
河南省,566,16,2,2020-02-03
河南省,675,27,2,2020-02-04
河南省,764,50,2,2020-02-05
河南省,851,56,2,2020-02-06
河南省,914,86,3,2020-02-07
河南省,981,99,4,2020-02-08
河南省,1033,153,6,2020-02-09
河南省,1073,191,6,2020-02-10
河南省,1105,218,7,2020-02-11
河南省,1135,246,8,2020-02-12
河南省,1169,296,8,2020-02-13
河南省,1184,357,11,2020-02-14
河南省,1212,391,13,2020-02-15
河南省,1231,440,13,2020-02-16
河南省,1246,509,17,2020-02-17
河南省,1257,522,19,2020-02-18
河南省,1262,573,19,2020-02-19
河南省,1265,646,19,2020-02-20
河南省,1267,736,19,2020-02-21
河南省,1270,830,19,2020-02-22
河南省,1271,868,19,2020-02-23
河南省,1271,943,19,2020-02-24
河南省,1271,990,19,2020-02-25
河南省,1271,1033,19,2020-02-26
河南省,1272,1062,20,2020-02-27
浙江省,43,1,0,2020-01-24
浙江省,62,1,0,2020-01-25
浙江省,62,1,0,2020-01-26
浙江省,128,1,0,2020-01-27
浙江省,173,3,0,2020-01-28
浙江省,296,3,0,2020-01-29
浙江省,428,4,0,2020-01-30
浙江省,538,9,0,2020-01-31
浙江省,599,21,0,2020-02-01
浙江省,661,32,1,2020-02-02
浙江省,724,43,0,2020-02-03
浙江省,829,62,0,2020-02-04
浙江省,895,78,0,2020-02-05
浙江省,954,94,0,2020-02-06
浙江省,1006,99,0,2020-02-07
浙江省,1048,175,0,2020-02-08
浙江省,1075,201,0,2020-02-09
浙江省,1092,242,0,2020-02-10
浙江省,1117,270,0,2020-02-11
浙江省,1131,321,0,2020-02-12
浙江省,1145,360,0,2020-02-13
浙江省,1155,403,0,2020-02-14
浙江省,1162,428,0,2020-02-15
浙江省,1167,456,0,2020-02-16
浙江省,1171,507,0,2020-02-17
浙江省,1172,535,0,2020-02-18
浙江省,1174,604,0,2020-02-19
浙江省,1175,633,1,2020-02-20
浙江省,1203,679,1,2020-02-21
浙江省,1205,719,1,2020-02-22
浙江省,1205,760,1,2020-02-23
浙江省,1205,782,1,2020-02-24
浙江省,1205,808,1,2020-02-25
浙江省,1205,867,1,2020-02-26
浙江省,1205,885,1,2020-02-27
海南省,8,0,0,2020-01-24
海南省,19,0,0,2020-01-25
海南省,22,0,0,2020-01-26
海南省,33,0,1,2020-01-27
海南省,40,0,1,2020-01-28
海南省,43,0,1,2020-01-29
海南省,46,1,1,2020-01-30
海南省,52,1,1,2020-01-31
海南省,62,1,2,2020-02-01
海南省,64,4,1,2020-02-02
海南省,72,4,1,2020-02-03
海南省,80,5,1,2020-02-04
海南省,91,6,1,2020-02-05
海南省,99,8,1,2020-02-06
海南省,117,9,2,2020-02-07
海南省,124,14,2,2020-02-08
海南省,131,19,3,2020-02-09
海南省,138,19,3,2020-02-10
海南省,144,20,3,2020-02-11
海南省,157,27,3,2020-02-12
海南省,157,34,4,2020-02-13
海南省,159,43,4,2020-02-14
海南省,162,39,4,2020-02-15
海南省,162,52,4,2020-02-16
海南省,163,59,4,2020-02-17
海南省,163,79,4,2020-02-18
海南省,163,84,4,2020-02-19
海南省,168,86,4,2020-02-20
海南省,168,95,4,2020-02-21
海南省,168,99,4,2020-02-22
海南省,168,106,4,2020-02-23
海南省,168,116,5,2020-02-24
海南省,168,124,5,2020-02-25
海南省,168,129,5,2020-02-26
湖北省,549,31,24,2020-01-24
湖北省,730,32,39,2020-01-25
湖北省,761,6,52,2020-01-26
湖北省,1423,47,76,2020-01-27
湖北省,2714,52,100,2020-01-28
湖北省,3554,87,125,2020-01-29
湖北省,4903,90,162,2020-01-30
湖北省,5806,86,204,2020-01-31
湖北省,7153,168,249,2020-02-01
湖北省,9074,267,294,2020-02-02
湖北省,11177,300,350,2020-02-03
湖北省,13522,398,414,2020-02-04
湖北省,16678,537,479,2020-02-05
湖北省,19665,712,549,2020-02-06
湖北省,22112,867,618,2020-02-07
湖北省,24953,1218,699,2020-02-08
湖北省,27100,1480,780,2020-02-09
湖北省,29631,1854,871,2020-02-10
湖北省,31728,2310,974,2020-02-11
湖北省,33366,2686,1068,2020-02-12
湖北省,48206,3459,1310,2020-02-13
湖北省,51986,4131,1426,2020-02-14
湖北省,54406,4821,1457,2020-02-15
湖北省,56249,5666,1596,2020-02-16
湖北省,58182,6693,1696,2020-02-17
湖北省,59989,7943,1789,2020-02-18
湖北省,61682,9336,1921,2020-02-19
湖北省,62031,10521,2029,2020-02-20
湖北省,62662,11881,2144,2020-02-21
湖北省,63454,13690,2250,2020-02-22
湖北省,64084,15343,2346,2020-02-23
湖北省,64287,16748,2495,2020-02-24
湖北省,64786,18971,2563,2020-02-25
湖北省,65187,20969,2615,2020-02-26
湖北省,65596,23222,2641,2020-02-27
湖南省,9,0,0,2020-01-24
湖南省,43,0,0,2020-01-25
湖南省,69,0,0,2020-01-26
湖南省,100,0,0,2020-01-27
湖南省,143,0,0,2020-01-28
湖南省,221,0,0,2020-01-29
湖南省,277,2,0,2020-01-30
湖南省,332,2,0,2020-01-31
湖南省,389,8,0,2020-02-01
湖南省,463,9,0,2020-02-02
湖南省,521,22,0,2020-02-03
湖南省,593,31,0,2020-02-04
湖南省,661,54,0,2020-02-05
湖南省,711,81,0,2020-02-06
湖南省,772,91,0,2020-02-07
湖南省,803,156,1,2020-02-08
湖南省,838,186,1,2020-02-09
湖南省,879,208,1,2020-02-10
湖南省,912,247,1,2020-02-11
湖南省,946,304,2,2020-02-12
湖南省,968,339,2,2020-02-13
湖南省,988,364,2,2020-02-14
湖南省,1001,425,2,2020-02-15
湖南省,1004,464,3,2020-02-16
湖南省,1006,498,3,2020-02-17
湖南省,1007,527,4,2020-02-18
湖南省,1008,561,4,2020-02-19
湖南省,1010,634,4,2020-02-20
湖南省,1011,661,4,2020-02-21
湖南省,1013,692,4,2020-02-22
湖南省,1016,714,4,2020-02-23
湖南省,1016,731,4,2020-02-24
湖南省,1016,768,4,2020-02-25
湖南省,1016,783,4,2020-02-26
湖南省,1017,793,4,2020-02-27
澳门,2,0,0,2020-01-26
甘肃省,2,0,0,2020-01-24
甘肃省,4,0,0,2020-01-25
